#,Ticker,μ anualizado,μ %,Destacado
1,SOL-USD,0.9002455614463555,90.02%,⬤
2,NVDA,0.6518260919878763,65.18%,⬤
3,XRP-USD,0.5226044662779422,52.26%,
4,AVAX-USD,0.5118751819340224,51.19%,
5,BTC-USD,0.3234691294538154,32.35%,
6,META,0.2516213502755245,25.16%,
7,ADA-USD,0.2422347560323057,24.22%,
8,BNB-USD,0.2403284587939227,24.03%,
9,LINK-USD,0.23866248271332133,23.87%,
10,WMT,0.22418345391137579,22.42%,
11,XOM,0.2210753799143108,22.11%,
12,ETH-USD,0.18947246415510688,18.95%,
13,MSFT,0.17985978305760542,17.99%,
14,JPM,0.17674907998003314,17.67%,
15,GLD,0.1711783056637109,17.12%,
16,USO,0.15160495321502918,15.16%,
17,AAPL,0.14511596992313122,14.51%,
18,CVX,0.13454605083719803,13.45%,
19,DBA,0.1299633712641509,13.0%,
20,V,0.12954322109496466,12.95%,
21,GOOGL,0.12826069743133392,12.83%,
22,KO,0.11249797709404899,11.25%,
23,LTC-USD,0.09687382600532704,9.69%,
24,SLV,0.09277081484764893,9.28%,
25,PG,0.08616541110205347,8.62%,
26,AMZN,0.0826624683716271,8.27%,
27,BAC,0.062151685499059466,6.22%,
28,CPER,0.04858668999174581,4.86%,
29,UNH,0.04706313039517901,4.71%,
30,JNJ,0.027035181798010566,2.7%,
31,UNG,-0.01074691331965763,-1.07%,
32,PFE,-0.05304999445412939,-5.3%,⬤
33,DOT-USD,-0.11471767162277127,-11.47%,⬤
