Activo,Peso w*,Cota activa,λ asociado
AAPL,0.0000%,wᵢ = 0,0.005182
GOOGL,0.0000%,wᵢ = 0,0.001564
META,0.0000%,wᵢ = 0,0.000668
PFE,0.0000%,wᵢ = 0,0.001250
BAC,0.0000%,wᵢ = 0,0.004778
V,0.0000%,wᵢ = 0,0.000513
AMZN,0.0000%,wᵢ = 0,0.005537
CVX,0.0000%,wᵢ = 0,0.001407
ETH-USD,0.0000%,wᵢ = 0,0.015890
BNB-USD,0.0000%,wᵢ = 0,0.004181
ADA-USD,0.0000%,wᵢ = 0,0.013965
AVAX-USD,0.0000%,wᵢ = 0,0.005925
DOT-USD,0.0000%,wᵢ = 0,0.027002
LTC-USD,0.0000%,wᵢ = 0,0.017706
LINK-USD,0.0000%,wᵢ = 0,0.017541
SLV,0.0000%,wᵢ = 0,0.013044
USO,0.0000%,wᵢ = 0,0.007569
UNG,0.0000%,wᵢ = 0,0.008411
CPER,0.0000%,wᵢ = 0,0.011003
