,w*
AAPL,0.0
MSFT,0.0026814395803247504
GOOGL,0.0
NVDA,0.042410359714957754
META,0.0
JNJ,0.18683206829799073
UNH,0.025222266622868948
PFE,0.0
JPM,0.019018674766607777
BAC,0.0
V,0.0
AMZN,0.0
WMT,0.11885923657842347
KO,0.13575647086577483
PG,0.07883144589938042
XOM,0.05841206925970537
CVX,0.0
BTC-USD,0.0015419723385669067
ETH-USD,0.0
SOL-USD,9.722221485675722e-05
BNB-USD,0.0
XRP-USD,0.00033677386054237733
ADA-USD,0.0
AVAX-USD,0.0
DOT-USD,0.0
LTC-USD,0.0
LINK-USD,0.0
GLD,0.16981935468638543
SLV,0.0
USO,0.0
UNG,0.0
DBA,0.1601806453136146
CPER,0.0
